received_at|slot|value|simulation_duration|total_duration
2023-03-1321:20:10.541685|5993199|30353987720515920|72977|320824
2023-03-1321:20:10.421165|5993199|30353987720515920|109086|152241
2023-03-1321:20:10.667623|5993199|30353987720515920|85262|121400
2023-03-1321:20:10.795681|5993199|30353987720515920|77791|95995
2023-03-1321:20:10.601708|5993199|30353987720515920|142112|333396
2023-03-1321:20:10.84066|5993199|30353987720515920|143571|0
2023-03-1321:20:11.050612|5993199|30353987720515920|129395|174340
2023-03-1321:20:10.271777|5993199|30353987720515920|116806|248647
2023-03-1321:20:10.480457|5993199|30353987720515920|112102|140597
2023-03-1321:20:10.923295|5993199|30353987720515920|95976|118251
2023-03-1321:20:10.985359|5993199|30353987720515920|72503|96759
2023-03-1321:22:11.764912|5993209|51007531696900584|108971|133354
2023-03-1321:20:11.002925|5993199|30353987720515920|81911|107510
2023-03-1321:20:10.56991|5993199|30353987720515920|88796|115088
2023-03-1321:20:11.184101|5993199|30353987720515920|107853|131696
2023-03-1321:20:11.262184|5993199|30353987720515920|91222|229771
2023-03-1321:20:11.449773|5993199|30353987720515920|108085|0
2023-03-1321:20:10.85643|5993199|30353987720515920|100389|123389
2023-03-1321:20:11.384754|5993199|30353987720515920|94472|124872
2023-03-1321:20:10.767322|5993199|30353987720515920|127781|0
2023-03-1321:20:11.530227|5993199|30353987720515920|97549|136862
2023-03-1321:20:11.690843|5993199|30353987720515920|131445|187690
2023-03-1321:20:11.872631|5993199|30353987720515920|103520|127566
2023-03-1321:20:11.148073|5993199|30353987720515920|84302|193577
2023-03-1321:20:11.255746|5993199|30353987720515920|111339|139162
2023-03-1321:20:11.294031|5993199|30353987720515920|103696|219084
2023-03-1321:20:11.435536|5993199|30353987720515920|163854|0
2023-03-1321:20:11.702159|5993199|30353987720515920|104049|204426
2023-03-1321:20:11.499835|5993199|30353987720515920|98408|257714
2023-03-1321:20:11.978668|5993199|30353987720515920|115255|146104
2023-03-1321:20:11.363762|5993199|30353987720515920|87023|244025
2023-03-1321:20:11.756018|5993199|30353987720515920|183818|218909
2023-03-1321:20:11.78064|5993199|30353987720515920|150320|344307
2023-03-1321:21:11.64462|5993204|115332104740584787|126304|144791
2023-03-1321:21:01.202733|5993203|133927790818171858|184557|416488
2023-03-1321:21:01.152465|5993203|133927790818171858|224120|469509
2023-03-1321:22:24.933387|5993210|65078698306732475|121581|150119
2023-03-1321:22:47.676325|5993212|288496561847238632|128517|155410
2023-03-1321:23:00.246351|5993213|28702256966063043|218081|335180
2023-03-1321:21:35.944249|5993206|54568947492099813|271179|741893
2023-03-1321:23:12.667598|5993214|61858920708855940|139169|164067
2023-03-1321:24:01.127086|5993218|82142349190289788|94326|161705
2023-03-1321:23:24.063928|5993215|42344735982394711|55347|72740
2023-03-1321:23:00.301933|5993213|28702256966063043|226947|263891
2023-03-1321:24:11.362044|5993219|100211539753470754|101786|586394
2023-03-1321:25:35.514894|5993226|52582774468953769|93752|216952
2023-03-1321:24:35.342817|5993221|49397531334116415|261530|1017348
2023-03-1321:24:35.407146|5993221|49397531334116415|269859|970163
2023-03-1321:24:35.225804|5993221|49397531334116415|348434|1151641
2023-03-1321:26:23.540146|5993230|144524985513884876|103245|128006
2023-03-1321:23:36.015239|5993216|59281947649355663|197767|299668
2023-03-1321:24:48.31419|5993222|12680774892591861|134743|348242
2023-03-1321:26:11.451966|5993229|63536275651560183|128092|245050
2023-03-1321:26:11.290761|5993229|63536275651560183|172719|284407
2023-03-1321:25:11.475964|5993224|93876173307567666|180526|323938
2023-03-1321:28:12.457323|5993239|63388731247191611|113939|136829
2023-03-1321:28:25.36378|5993240|56367399982640396|180932|471729
2023-03-1321:27:12.456993|5993234|168319540679506500|98680|123941
2023-03-1321:27:24.541041|5993235|401580817562328171|135618|157928
2023-03-1321:30:23.935542|5993250|212821476791881602|251270|343048
2023-03-1321:27:47.812997|5993237|107232112976022096|99783|122438
2023-03-1321:27:47.874368|5993237|107232112976022096|107321|125199
2023-03-1321:27:47.83985|5993237|107232112976022096|86492|182905
2023-03-1321:27:47.720994|5993237|107232112976022096|88401|105684
2023-03-1321:27:47.797539|5993237|107232112976022096|81655|105264
2023-03-1321:27:47.658951|5993237|107232112976022096|109461|128242
2023-03-1321:27:47.755045|5993237|107232112976022096|78374|182648
2023-03-1321:29:36.294494|5993246|53371972716484530|122136|139942
2023-03-1321:31:12.10533|5993254|48894056333499813|161594|184861
2023-03-1321:31:48.061258|5993257|31256445626896776|85065|190869
2023-03-1321:32:36.059845|5993261|149529393759299926|214479|236187
2023-03-1321:33:45.386313|5993267|95644778928534021|125282|254428
2023-03-1321:31:12.012775|5993254|48894056333499813|141519|298565
2023-03-1321:34:24.059696|5993270|127095938511155009|108247|219087
2023-03-1321:34:35.217853|5993271|126454734156959836|105521|212415
2023-03-1321:34:11.788552|5993269|83670666008295140|229416|248450
2023-03-1321:34:11.601351|5993269|83670666008295140|124400|143212
2023-03-1321:34:11.686975|5993269|83670666008295140|120910|142061
2023-03-1321:34:11.709502|5993269|83670666008295140|151287|170336
2023-03-1321:33:25.312469|5993265|27890771279650568|123753|141850
2023-03-1321:33:35.511898|5993266|531352427307536950|128269|149172
2023-03-1321:34:35.315901|5993271|126454734156959836|101399|204349
2023-03-1321:34:35.23999|5993271|126454734156959836|93204|192007
2023-03-1321:35:12.132815|5993274|74492806914709328|143696|167073
2023-03-1321:34:46.885407|5993272|154170912249492100|118469|225429
2023-03-1321:36:48.158262|5993282|32684396313095361|99121|181602
2023-03-1321:37:47.349641|5993287|266776869471120306|111359|218990
2023-03-1321:35:59.978565|5993278|1188685722973023996|119045|157184
2023-03-1321:37:56.292259|5993288|70954328915137241|89752|190243
2023-03-1321:38:23.962259|5993290|46938350585409355|179188|397246
2023-03-1321:37:00.136393|5993283|24879949417970553|102307|208187
2023-03-1321:38:49.100623|5993292|31155607892789538|73795|91880
2023-03-1321:37:23.293789|5993285|36561100170905714|159891|277002
2023-03-1321:38:35.83709|5993291|38582766940773322|225655|643589
2023-03-1321:39:59.46273|5993298|77838208235151037|80328|98324
2023-03-1321:39:00.163254|5993293|307762250111158925|147000|165459
2023-03-1321:41:10.192916|5993304|174553536583264254|329196|1328029
2023-03-1321:40:47.196629|5993302|143742874414991019|106956|140491
2023-03-1321:39:37.0054|5993296|45588825034658204|236059|484011
2023-03-1321:43:49.179209|5993317|80858373076835421|124377|268064
2023-03-1321:42:11.630309|5993309|113683112135368150|141905|253934
2023-03-1321:42:24.07308|5993310|22561892051176092|80102|687491
2023-03-1321:41:48.112645|5993307|28752562498019400|74491|170088
2023-03-1321:41:48.20583|5993307|28752562498019400|85400|110111
2023-03-1321:41:48.138951|5993307|28752562498019400|75419|108692
2023-03-1321:44:37.514949|5993321|79904608613102852|117875|135349
2023-03-1321:44:24.252929|5993320|118149207732590694|163726|380966
2023-03-1321:46:58.835921|5993333|35573913405057024|234143|0
2023-03-1321:44:49.165306|5993322|52932732551286339|121758|136749
2023-03-1321:46:00.081638|5993328|81612908267068832|228152|332280
2023-03-1321:46:47.380859|5993332|210611680606861903|127713|148781
2023-03-1321:46:59.553311|5993333|35573913405057024|139124|238284
2023-03-1321:46:58.671285|5993333|35573913405057024|227702|442526
2023-03-1321:46:58.999636|5993333|35573913405057024|96214|144651
2023-03-1321:46:58.75772|5993333|35573913405057024|214636|0
2023-03-1321:47:00.026295|5993333|35573913405057024|139436|296306
2023-03-1321:46:59.25912|5993333|35573913405057024|141299|261425
2023-03-1321:46:59.532748|5993333|35573913405057024|138303|288351
2023-03-1321:47:00.162158|5993333|35573913405057024|136707|373639
2023-03-1321:46:59.61501|5993333|35573913405057024|122062|299633
2023-03-1321:46:59.270368|5993333|35573913405057024|209665|247278
2023-03-1321:46:59.174843|5993333|35573913405057024|252328|275990
2023-03-1321:46:59.553555|5993333|35573913405057024|126831|148930
2023-03-1321:46:58.848483|5993333|35573913405057024|194009|455976
2023-03-1321:46:59.785478|5993333|35573913405057024|114860|212053
2023-03-1321:46:59.623439|5993333|35573913405057024|151602|185924
2023-03-1321:46:59.236974|5993333|35573913405057024|170269|437216
2023-03-1321:47:00.071677|5993333|35573913405057024|86627|197604
2023-03-1321:46:59.947386|5993333|35573913405057024|94447|331763
2023-03-1321:46:58.959967|5993333|35573913405057024|259752|430447
2023-03-1321:46:58.928076|5993333|35573913405057024|228494|0
2023-03-1321:47:00.105024|5993333|35573913405057024|138291|164653
2023-03-1321:46:59.354317|5993333|35573913405057024|168788|197894
2023-03-1321:46:59.87791|5993333|35573913405057024|142694|305330
2023-03-1321:47:00.127419|5993333|35573913405057024|111243|220518
2023-03-1321:46:59.472137|5993333|35573913405057024|141477|0
2023-03-1321:46:59.767992|5993333|35573913405057024|185666|344310
2023-03-1321:46:59.106373|5993333|35573913405057024|289627|335189
2023-03-1321:46:59.96996|5993333|35573913405057024|127769|150132
2023-03-1321:46:59.71869|5993333|35573913405057024|140311|166955
2023-03-1321:46:59.446551|5993333|35573913405057024|157467|372452
2023-03-1321:46:59.458578|5993333|35573913405057024|127609|170756
2023-03-1321:46:59.387099|5993333|35573913405057024|139144|318892
2023-03-1321:46:59.854754|5993333|35573913405057024|175107|0
2023-03-1321:46:58.757004|5993333|35573913405057024|198332|0
2023-03-1321:46:59.700833|5993333|35573913405057024|127217|283884
2023-03-1321:47:00.168442|5993333|35573913405057024|116066|221100
2023-03-1321:47:36.208716|5993336|357976185829888901|194087|475929
2023-03-1321:46:58.763989|5993333|35573913405057024|311565|0
2023-03-1321:46:59.831716|5993333|35573913405057024|134568|165299
2023-03-1321:46:59.972822|5993333|35573913405057024|108984|249011
2023-03-1321:47:00.16745|5993333|35573913405057024|118422|0
2023-03-1321:46:59.662521|5993333|35573913405057024|165799|313451
2023-03-1321:48:25.334612|5993340|68985566095632145|129662|160588
2023-03-1321:47:48.603517|5993337|50091861221282581|80435|97801
2023-03-1321:47:59.040401|5993338|654345854734145638|128234|643201
2023-03-1321:48:59.660472|5993343|409792766797119223|124535|145952
2023-03-1321:48:37.194353|5993341|112399177162964256|110245|136631
2023-03-1321:48:59.557907|5993343|409792766797119223|97080|117151
2023-03-1321:48:59.782284|5993343|409792766797119223|114265|132408
2023-03-1321:49:47.494137|5993347|36089838484008231|109470|125463
2023-03-1321:49:10.277861|5993344|104156719973374348|118805|228372
2023-03-1321:49:35.277621|5993346|42275718054282511|200413|343691
2023-03-1321:50:22.174682|5993350|19225204005577435|119471|145187
2023-03-1321:51:47.92218|5993357|77541940700901921|151337|170179
2023-03-1321:50:22.383679|5993350|19225204005577435|118892|273358
2023-03-1321:50:00.423269|5993348|131131135162378000|181524|367206
2023-03-1321:52:00.154531|5993358|37744646868154449|125367|139156
2023-03-1321:54:24.583834|5993370|17607160081837367|103487|200739
2023-03-1321:52:11.993171|5993359|669260552555762981|89406|109216
2023-03-1321:51:23.547106|5993355|49938077518829580|198510|356435
2023-03-1321:53:11.875721|5993364|77500184908675283|196622|218443
2023-03-1321:54:47.583148|5993372|51269866245252168|109966|132430
2023-03-1321:52:35.396177|5993361|24292272997167355|294148|756596
2023-03-1321:54:47.384394|5993372|51269866245252168|98706|124565
2023-03-1321:54:47.713283|5993372|51269866245252168|98711|116874
2023-03-1321:54:48.021407|5993372|51269866245252168|108928|314161
2023-03-1321:54:47.311089|5993372|51269866245252168|137161|160583
2023-03-1321:54:47.168587|5993372|51269866245252168|147627|0
2023-03-1321:54:47.475266|5993372|51269866245252168|134412|152495
2023-03-1321:54:47.746745|5993372|51269866245252168|115553|250338
2023-03-1321:54:47.218445|5993372|51269866245252168|100224|124055
2023-03-1321:54:47.22836|5993372|51269866245252168|169785|192312
2023-03-1321:54:48.337421|5993372|51269866245252168|103420|251385
2023-03-1321:54:47.502949|5993372|51269866245252168|133468|153279
2023-03-1321:54:47.613255|5993372|51269866245252168|129186|226892
2023-03-1321:54:47.26836|5993372|51269866245252168|118623|226286
2023-03-1321:54:47.497096|5993372|51269866245252168|124399|303824
2023-03-1321:54:47.516389|5993372|51269866245252168|121534|325313
2023-03-1321:54:47.745888|5993372|51269866245252168|145936|165491
2023-03-1321:54:47.791855|5993372|51269866245252168|137014|156972
2023-03-1321:54:47.635664|5993372|51269866245252168|104204|130563
2023-03-1321:54:47.973894|5993372|51269866245252168|96403|119681
2023-03-1321:54:47.870911|5993372|51269866245252168|134413|155431
2023-03-1321:54:48.064364|5993372|51269866245252168|108649|241499
2023-03-1321:54:47.833614|5993372|51269866245252168|138089|242065
2023-03-1321:54:47.989712|5993372|51269866245252168|125659|150419
2023-03-1321:54:48.099338|5993372|51269866245252168|106714|138318
2023-03-1321:54:48.218993|5993372|51269866245252168|98318|126290
2023-03-1321:54:47.919345|5993372|51269866245252168|92380|313047
2023-03-1321:54:48.003433|5993372|51269866245252168|171860|0
2023-03-1321:54:48.229318|5993372|51269866245252168|144084|168189
2023-03-1321:54:48.090603|5993372|51269866245252168|94161|337244
2023-03-1321:54:48.420744|5993372|51269866245252168|141640|161809
2023-03-1321:54:48.424526|5993372|51269866245252168|124861|162366
2023-03-1321:54:48.331695|5993372|51269866245252168|104008|126904
2023-03-1321:54:48.253949|5993372|51269866245252168|133987|255691
2023-03-1321:56:00.842535|5993378|59419598626497445|121777|165316
2023-03-1321:55:11.840423|5993374|112928286231096416|236529|358295
2023-03-1321:55:11.66074|5993374|112928286231096416|418315|855636
2023-03-1321:55:11.5424|5993374|112928286231096416|416758|0
2023-03-1321:55:11.93057|5993374|112928286231096416|321934|431526
2023-03-1321:55:11.741414|5993374|112928286231096416|342542|0
2023-03-1321:55:11.626104|5993374|112928286231096416|324838|0
2023-03-1321:55:11.542427|5993374|112928286231096416|372521|827892
2023-03-1321:55:11.56989|5993374|112928286231096416|199402|599276
2023-03-1321:55:48.793399|5993377|107959906157658478|136018|267641
2023-03-1321:54:12.342483|5993369|60577097927879565|106832|126536
2023-03-1321:58:24.876984|5993390|40057272203385473|88252|569567
2023-03-1321:56:35.883363|5993381|156419143641266380|126133|153337
2023-03-1321:57:35.547524|5993386|278431853929972367|141499|165485
2023-03-1321:58:48.064802|5993392|134151094317794061|110464|137249
2023-03-1321:57:48.153886|5993387|99803641739706809|272909|421178
2023-03-1321:57:11.771821|5993384|476439618729184520|131146|150577
2023-03-1322:00:12.289972|5993399|79907590849367691|239083|257996
2023-03-1321:59:12.196789|5993394|84749340629680873|125909|233980
2023-03-1322:01:24.842031|5993405|62167930643883604|95990|111385
2023-03-1321:59:22.539701|5993395|138249280713166615|106471|201956
2023-03-1321:59:36.162295|5993396|31448080807280942|212404|328709
2023-03-1322:00:58.957095|5993403|21926880899238627|79666|114997
2023-03-1322:01:41.146372|5993406|47459058934847336|132030|530874
2023-03-1322:02:35.084465|5993411|16666469296659640|73219|86004
2023-03-1322:02:24.240885|5993410|16704112122717514|148340|307319
2023-03-1322:02:35.328685|5993411|16666469296659640|100000|115340
2023-03-1322:03:23.3022|5993415|1201252905706341352|100098|117566
2023-03-1322:03:47.708618|5993417|83283008755052864|123101|144049
2023-03-1322:02:59.713025|5993413|23023660360891488|156263|173057
2023-03-1322:03:58.894618|5993418|32382117973765944|102203|207680
2023-03-1322:04:10.757958|5993419|59131217672482992|184037|0
2023-03-1322:04:10.71449|5993419|59131217672482992|107765|249176
2023-03-1322:04:10.849526|5993419|59131217672482992|132939|159483
2023-03-1322:04:10.76027|5993419|59131217672482992|161165|194521
2023-03-1322:04:11.313206|5993419|59131217672482992|169290|198552
2023-03-1322:04:11.217708|5993419|59131217672482992|165442|200911
2023-03-1322:04:11.351882|5993419|59131217672482992|136883|160307
2023-03-1322:04:10.934989|5993419|59131217672482992|157492|181392
2023-03-1322:04:11.08765|5993419|59131217672482992|186256|326910
2023-03-1322:04:10.908254|5993419|59131217672482992|122087|256885
2023-03-1322:04:11.027554|5993419|59131217672482992|164544|207769
2023-03-1322:04:11.063262|5993419|59131217672482992|186829|213666
2023-03-1322:04:11.1244|5993419|59131217672482992|144608|174361
2023-03-1322:04:11.728774|5993419|59131217672482992|129384|155772
2023-03-1322:04:11.635095|5993419|59131217672482992|139365|283809
2023-03-1322:04:11.347259|5993419|59131217672482992|148786|283407
2023-03-1322:04:11.250019|5993419|59131217672482992|143880|278206
2023-03-1322:04:11.329572|5993419|59131217672482992|155293|294626
2023-03-1322:04:11.403073|5993419|59131217672482992|173609|203545
2023-03-1322:04:11.563968|5993419|59131217672482992|137173|164853
2023-03-1322:04:11.541283|5993419|59131217672482992|165319|308567
2023-03-1322:04:11.617741|5993419|59131217672482992|150175|179604
2023-03-1322:04:11.823374|5993419|59131217672482992|133370|256596
2023-03-1322:04:11.87037|5993419|59131217672482992|174386|206820
2023-03-1322:04:11.78114|5993419|59131217672482992|141952|287023
2023-03-1322:04:11.878176|5993419|59131217672482992|199276|222245
2023-03-1322:04:10.896748|5993419|59131217672482992|140906|264733
2023-03-1322:03:35.532804|5993416|112445578751885917|174523|454099
2023-03-1322:06:23.999657|5993430|22787932313473381|165189|907247
2023-03-1322:04:35.628862|5993421|30498236807099886|108798|125983
2023-03-1322:06:36.127325|5993431|38075154124183160|217746|507930
2023-03-1322:04:59.441716|5993423|20779033490005584|286406|613747
2023-03-1322:05:12.614401|5993424|17209155993824082|107869|126443
2023-03-1322:08:24.756428|5993440|179114906516398978|132176|227774
2023-03-1322:06:12.083591|5993429|114819749261028510|180274|405909
2023-03-1322:06:47.572043|5993432|24958486479433362|166350|775457
2023-03-1322:06:47.55496|5993432|24958486479433362|166239|455811
2023-03-1322:06:47.675107|5993432|24958486479433362|145250|325383
2023-03-1322:08:59.989517|5993443|102567568824419710|132261|151471
2023-03-1322:07:59.247152|5993438|90739575978801768|342771|369898
2023-03-1322:10:35.835484|5993451|50163922928601640|137556|305040
2023-03-1322:09:12.482595|5993444|135752740171019335|143776|160690
2023-03-1322:10:36.020908|5993451|50163922928601640|142939|309510
2023-03-1322:10:34.047761|5993451|50163922928601640|131802|325399
2023-03-1322:10:34.237609|5993451|50163922928601640|123137|223166
2023-03-1322:09:47.718725|5993447|25897879035602619|142338|486506
2023-03-1322:10:34.679285|5993451|50163922928601640|114087|245186
2023-03-1322:10:33.92807|5993451|50163922928601640|133694|158733
2023-03-1322:10:33.829118|5993451|50163922928601640|103493|242715
2023-03-1322:10:34.008334|5993451|50163922928601640|113383|0
2023-03-1322:10:34.139418|5993451|50163922928601640|111050|0
2023-03-1322:10:34.428383|5993451|50163922928601640|116452|255023
2023-03-1322:10:34.115513|5993451|50163922928601640|191405|212271
2023-03-1322:10:34.018679|5993451|50163922928601640|82668|217930
2023-03-1322:10:34.250918|5993451|50163922928601640|147560|0
2023-03-1322:10:34.012338|5993451|50163922928601640|94971|121701
2023-03-1322:10:35.523253|5993451|50163922928601640|89001|136529
2023-03-1322:10:34.35327|5993451|50163922928601640|127090|229317
2023-03-1322:10:33.868951|5993451|50163922928601640|115178|332392
2023-03-1322:10:34.277173|5993451|50163922928601640|115194|264999
2023-03-1322:10:35.18659|5993451|50163922928601640|106432|131648
2023-03-1322:10:34.262218|5993451|50163922928601640|115843|148248
2023-03-1322:10:34.131804|5993451|50163922928601640|150845|304339
2023-03-1322:10:34.545926|5993451|50163922928601640|166059|226399
2023-03-1322:10:34.16228|5993451|50163922928601640|115545|258432
2023-03-1322:10:34.377979|5993451|50163922928601640|99073|119131
2023-03-1322:10:36.208363|5993451|50163922928601640|114688|344006
2023-03-1322:10:36.532335|5993451|50163922928601640|141448|573868
2023-03-1322:10:34.403054|5993451|50163922928601640|162643|323248
2023-03-1322:10:34.639184|5993451|50163922928601640|83641|249012
2023-03-1322:10:34.315737|5993451|50163922928601640|108391|315775
2023-03-1322:10:34.47043|5993451|50163922928601640|114720|135464
2023-03-1322:10:34.499549|5993451|50163922928601640|100707|125340
2023-03-1322:10:34.557047|5993451|50163922928601640|113258|256447
2023-03-1322:10:34.707113|5993451|50163922928601640|120191|0
2023-03-1322:10:34.392907|5993451|50163922928601640|118472|298775
2023-03-1322:10:34.479852|5993451|50163922928601640|122857|275957
2023-03-1322:10:34.783244|5993451|50163922928601640|129739|154364
2023-03-1322:10:34.62269|5993451|50163922928601640|145725|189957
2023-03-1322:10:34.708276|5993451|50163922928601640|106608|131912
2023-03-1322:10:35.297397|5993451|50163922928601640|142632|261174
2023-03-1322:10:35.441479|5993451|50163922928601640|126482|147297
2023-03-1322:10:35.702656|5993451|50163922928601640|174906|198182
2023-03-1322:10:35.639282|5993451|50163922928601640|153715|296688
2023-03-1322:10:34.823537|5993451|50163922928601640|138980|287950
2023-03-1322:10:34.94339|5993451|50163922928601640|134999|241050
2023-03-1322:10:34.859462|5993451|50163922928601640|147883|178897
2023-03-1322:10:35.697961|5993451|50163922928601640|149592|260514
2023-03-1322:10:36.130941|5993451|50163922928601640|132923|263970
2023-03-1322:10:34.936341|5993451|50163922928601640|93524|125072
2023-03-1322:10:35.108708|5993451|50163922928601640|89300|115551
2023-03-1322:10:35.020755|5993451|50163922928601640|116881|233373
2023-03-1322:10:34.973478|5993451|50163922928601640|108570|305189
2023-03-1322:10:34.786108|5993451|50163922928601640|117482|268185
2023-03-1322:10:34.938298|5993451|50163922928601640|137398|158662
2023-03-1322:10:35.019119|5993451|50163922928601640|116538|142891
2023-03-1322:10:35.934327|5993451|50163922928601640|131899|250543
2023-03-1322:10:35.755357|5993451|50163922928601640|128741|281415
2023-03-1322:10:35.1781|5993451|50163922928601640|125297|0
2023-03-1322:10:35.408763|5993451|50163922928601640|92097|264522
2023-03-1322:10:35.622602|5993451|50163922928601640|135831|162233
2023-03-1322:10:35.660386|5993451|50163922928601640|151340|301040
2023-03-1322:10:35.261156|5993451|50163922928601640|86966|110623
2023-03-1322:10:35.344547|5993451|50163922928601640|138132|159685
2023-03-1322:09:34.08456|5993446|59678083286230426|76177|170261
2023-03-1322:10:35.399142|5993451|50163922928601640|129893|150145
2023-03-1322:10:35.75831|5993451|50163922928601640|97505|279287
2023-03-1322:10:35.263345|5993451|50163922928601640|148989|251419
2023-03-1322:10:35.26968|5993451|50163922928601640|151169|0
2023-03-1322:10:35.328778|5993451|50163922928601640|117226|214020
2023-03-1322:10:35.623447|5993451|50163922928601640|134564|159705
2023-03-1322:10:35.793423|5993451|50163922928601640|123924|150818
2023-03-1322:10:36.120359|5993451|50163922928601640|149721|308152
2023-03-1322:10:36.416458|5993451|50163922928601640|100578|130466
2023-03-1322:10:36.519527|5993451|50163922928601640|124316|148017
2023-03-1322:10:36.031718|5993451|50163922928601640|127439|149192
2023-03-1322:10:36.129325|5993451|50163922928601640|107630|248958
2023-03-1322:10:36.127438|5993451|50163922928601640|158659|206298
2023-03-1322:10:36.178716|5993451|50163922928601640|151760|174822
2023-03-1322:10:36.21676|5993451|50163922928601640|137498|251292
2023-03-1322:10:36.632395|5993451|50163922928601640|113665|139434
2023-03-1322:10:35.871309|5993451|50163922928601640|155377|0
2023-03-1322:10:36.314867|5993451|50163922928601640|135292|163771
2023-03-1322:10:35.902436|5993451|50163922928601640|116486|137760
2023-03-1322:10:35.935321|5993451|50163922928601640|138498|242293
2023-03-1322:10:36.578182|5993451|50163922928601640|114215|528824
2023-03-1322:10:36.553981|5993451|50163922928601640|150334|554272
2023-03-1322:10:36.133284|5993451|50163922928601640|121182|312355
2023-03-1322:10:36.052916|5993451|50163922928601640|144975|0
2023-03-1322:10:36.403767|5993451|50163922928601640|101792|133178
2023-03-1322:10:47.305553|5993452|31308335810710776|118702|275899
2023-03-1322:10:23.455182|5993450|74077947123126528|123109|237521
2023-03-1322:10:47.317002|5993452|31308335810710776|157834|305084
2023-03-1322:10:23.483716|5993450|74077947123126528|106598|253392
2023-03-1322:11:00.124688|5993453|38508236843578240|99674|297696
2023-03-1322:12:46.301658|5993462|121930255394911939|110036|301132
2023-03-1322:10:59.872939|5993453|38508236843578240|86079|103312
2023-03-1322:10:59.822406|5993453|38508236843578240|94182|110586
2023-03-1322:10:59.769702|5993453|38508236843578240|85656|208865
2023-03-1322:11:00.003535|5993453|38508236843578240|98868|0
2023-03-1322:10:59.66256|5993453|38508236843578240|95250|114311
2023-03-1322:10:59.74662|5993453|38508236843578240|103326|120939
2023-03-1322:10:59.712686|5993453|38508236843578240|98044|237834
2023-03-1322:10:59.807404|5993453|38508236843578240|128158|0
2023-03-1322:10:59.612893|5993453|38508236843578240|114498|216559
2023-03-1322:10:59.937848|5993453|38508236843578240|90687|112724
2023-03-1322:11:00.130108|5993453|38508236843578240|117297|136251
2023-03-1322:11:00.008858|5993453|38508236843578240|84285|104987
2023-03-1322:11:00.202816|5993453|38508236843578240|137237|0
2023-03-1322:11:00.360593|5993453|38508236843578240|72078|92650
2023-03-1322:11:00.062635|5993453|38508236843578240|144544|164509
2023-03-1322:11:00.055278|5993453|38508236843578240|100766|288141
2023-03-1322:11:00.286913|5993453|38508236843578240|100191|124027
2023-03-1322:11:00.428963|5993453|38508236843578240|125091|0
2023-03-1322:11:00.213428|5993453|38508236843578240|107231|128318
2023-03-1322:11:00.121773|5993453|38508236843578240|119955|0
2023-03-1322:11:00.324597|5993453|38508236843578240|95724|220946
2023-03-1322:11:00.435737|5993453|38508236843578240|106045|129154
2023-03-1322:11:00.536553|5993453|38508236843578240|119574|138603
2023-03-1322:11:00.392738|5993453|38508236843578240|141800|330510
2023-03-1322:11:00.643204|5993453|38508236843578240|100695|119478
2023-03-1322:14:24.212621|5993470|143082307621036198|241821|394543
2023-03-1322:11:24.581251|5993455|324964568868434365|228326|617709
2023-03-1322:12:00.446642|5993458|464834786105564779|187918|268970
2023-03-1322:14:57.82993|5993473|109996821571842164|332845|484003
2023-03-1322:12:59.429808|5993463|108908818265579761|129027|152931
2023-03-1322:12:59.675271|5993463|108908818265579761|171489|192220
2023-03-1322:15:24.327811|5993475|145926928182402533|109901|211982
2023-03-1322:13:21.8351|5993465|71027013454008023|81484|190999
2023-03-1322:13:47.873272|5993467|103950131809167395|158679|309700
2023-03-1322:15:35.46736|5993476|60412626439908011|96836|110870
2023-03-1322:16:01.526952|5993478|53743171203705598|202261|221043
2023-03-1322:13:59.828688|5993468|231116075326826663|211472|477133
2023-03-1322:16:47.592014|5993482|51312278632158090|160145|455963
2023-03-1322:18:36.511958|5993491|199644603130119384|127105|147614
2023-03-1322:18:12.157395|5993489|137883323241305597|132690|151563
2023-03-1322:18:47.550363|5993492|133251290562621725|239337|262271
2023-03-1322:18:23.548255|5993490|177117626244902100|77158|89215
2023-03-1322:19:47.662706|5993497|75781436870432059|104044|135090
2023-03-1322:17:59.388244|5993488|234756216623607932|80043|196725
2023-03-1322:20:35.661367|5993501|22999463936538922|114429|212166
2023-03-1322:19:11.828905|5993494|63824365610490188|156120|328119
2023-03-1322:19:23.492546|5993495|26965978161993296|124668|140848
2023-03-1322:20:24.443186|5993500|233234904235865555|71783|86950
2023-03-1322:20:47.528127|5993502|83848413865286427|152168|187690
2023-03-1322:21:12.577455|5993504|64168069301276072|157661|241186
2023-03-1322:22:34.859251|5993511|85204246217766460|76415|94891
2023-03-1322:20:47.649743|5993502|83848413865286427|140523|165978
2023-03-1322:23:24.062433|5993515|51420747738604929|151525|471203
2023-03-1322:22:59.693872|5993513|1287304369188642318|227944|258219
2023-03-1322:21:36.417098|5993506|25880037679213565|110163|180226
2023-03-1322:23:47.621368|5993517|22493679860539502|177975|238969
2023-03-1322:23:59.433783|5993518|62030026111133477|197652|511233
2023-03-1322:24:11.422719|5993519|33934102761946164|186425|429290
2023-03-1322:24:11.886455|5993519|33934102761946164|162244|327396
2023-03-1322:24:12.106159|5993519|33934102761946164|202423|380425
2023-03-1322:24:11.547395|5993519|33934102761946164|166548|463401
2023-03-1322:24:11.564081|5993519|33934102761946164|154201|285353
2023-03-1322:24:11.516825|5993519|33934102761946164|160118|230740
